epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1957,1.45636,3.25143,1.70934,0.12079,0.0595,0.07124,0.03201,1.86157,3.86081,2.16228,0.000539324,0.000539324,0.000539324
2,42.6486,1.52076,2.93907,1.75899,0.35675,0.05287,0.12031,0.07272,1.82214,3.65308,1.99974,0.000986586,0.000986586,0.000986586
3,47.6549,1.49937,2.75915,1.73174,0.17648,0.15863,0.12753,0.07878,2.02541,3.72733,2.20852,0.00132383,0.00132383,0.00132383
4,52.7053,1.54498,2.82683,1.78697,0.3109,0.24274,0.18612,0.09034,1.91981,3.80095,2.20764,0.0011719,0.0011719,0.0011719
5,57.737,1.54603,2.66424,1.82915,0.34695,0.19169,0.18906,0.11933,1.89587,4.27486,2.07126,0.00100687,0.00100687,0.00100687
6,62.703,1.42787,2.59607,1.68039,0.2776,0.25654,0.2145,0.13618,1.78281,3.19795,1.92022,0.000841835,0.000841835,0.000841835
7,67.6927,1.38932,2.46511,1.65647,0.41596,0.26407,0.24903,0.15302,1.8145,2.87715,1.87937,0.000676802,0.000676802,0.000676802
8,72.7595,1.32649,2.33561,1.59689,0.35793,0.36667,0.29818,0.19808,1.67457,2.74114,1.82497,0.000511769,0.000511769,0.000511769
9,77.7372,1.30346,2.27439,1.59667,0.53626,0.3155,0.35662,0.22796,1.62212,2.60358,1.76247,0.000346736,0.000346736,0.000346736
10,82.699,1.26054,2.23615,1.54758,0.6842,0.28826,0.38445,0.25467,1.57103,2.4967,1.70845,0.000181703,0.000181703,0.000181703
