epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4041,1.7039,3.01585,1.87893,0.00349,0.95652,0.08373,0.03348,1.7723,4.06526,2.21041,0.000650794,0.000650794,0.000650794
2,26.5245,1.77878,2.84864,1.98198,0.18472,0.08696,0.08146,0.03737,2.42233,4.00812,3.6774,0.00126529,0.00126529,0.00126529
3,36.2859,1.83148,2.70992,2.01742,0.00173,0.17391,0.00066,0.00016,3.49079,65.4721,4.77669,0.00182698,0.00182698,0.00182698
4,45.6026,1.84594,2.6077,2.01406,0.31151,0.26087,0.18283,0.06985,1.86915,3.43142,2.28424,0.0017624,0.0017624,0.0017624
5,54.4571,1.80109,2.49508,1.96552,0.33342,0.30435,0.32731,0.09891,2.04965,4.17391,2.63252,0.0016832,0.0016832,0.0016832
6,63.409,1.70136,2.35763,1.90804,0.37711,0.43478,0.33499,0.11818,1.88771,3.55068,2.19803,0.001604,0.001604,0.001604
7,72.8898,1.66911,2.2543,1.87475,0.47253,0.21739,0.23299,0.11896,1.84737,2.78903,2.2137,0.0015248,0.0015248,0.0015248
8,82.5275,1.6123,2.188,1.83657,0.35587,0.6248,0.39742,0.16415,1.90298,2.16761,2.21668,0.0014456,0.0014456,0.0014456
9,92.7753,1.63267,2.19029,1.85851,0.28659,0.6087,0.38767,0.18761,1.50687,2.2222,1.87871,0.0013664,0.0013664,0.0013664
10,102.923,1.54213,2.02428,1.77737,0.60771,0.30435,0.35726,0.12469,1.933,2.44263,2.33372,0.0012872,0.0012872,0.0012872
11,112.866,1.48295,1.91801,1.7014,0.69377,0.3913,0.5676,0.2905,1.56508,1.87963,1.85414,0.001208,0.001208,0.001208
12,122.869,1.44089,1.86929,1.69129,0.68785,0.43478,0.55907,0.27593,1.5589,1.87628,1.92084,0.0011288,0.0011288,0.0011288
13,132.885,1.39811,1.80119,1.64101,0.42288,0.56522,0.50946,0.28449,1.55084,1.89477,1.82202,0.0010496,0.0010496,0.0010496
14,143.058,1.33641,1.71961,1.60995,0.53472,0.6087,0.57681,0.31185,1.44028,1.75897,1.76066,0.0009704,0.0009704,0.0009704
15,153.111,1.40142,1.80309,1.62571,0.5441,0.6087,0.5654,0.35205,1.35777,1.83722,1.79381,0.0008912,0.0008912,0.0008912
16,196.463,1.26369,1.5013,1.63985,0.74766,0.65217,0.76866,0.44093,1.3359,1.4619,1.72302,0.000812,0.000812,0.000812
17,206.161,1.20498,1.39777,1.59865,0.72536,0.56522,0.68099,0.41921,1.1786,1.64591,1.62677,0.0007328,0.0007328,0.0007328
18,214.768,1.16326,1.25453,1.56679,0.58809,0.62109,0.61541,0.40603,1.20081,1.7075,1.68364,0.0006536,0.0006536,0.0006536
19,224.302,1.10823,1.20178,1.52111,0.71002,0.63919,0.70122,0.454,1.254,1.50392,1.65915,0.0005744,0.0005744,0.0005744
20,234.297,1.08927,1.19324,1.44867,0.68149,0.73913,0.77776,0.47349,1.16238,1.32251,1.52692,0.0004952,0.0004952,0.0004952
21,244.374,1.04979,1.12459,1.45513,0.73955,0.61764,0.74963,0.48735,1.13928,1.25654,1.55558,0.000416,0.000416,0.000416
22,254.284,0.95842,1.01101,1.37191,0.64286,0.86111,0.77843,0.46795,1.36239,1.40679,1.76441,0.0003368,0.0003368,0.0003368
23,264.231,0.92506,0.98907,1.34894,0.73854,0.82609,0.80671,0.431,1.44009,1.388,1.87597,0.0002576,0.0002576,0.0002576
24,274.336,0.91187,0.91577,1.36328,0.73988,0.86583,0.85797,0.53286,1.27754,1.15691,1.68548,0.0001784,0.0001784,0.0001784
25,283.943,0.87819,0.90102,1.31248,0.70047,0.91304,0.85733,0.52383,1.27856,1.1338,1.64804,9.92e-05,9.92e-05,9.92e-05
